OZN,OFU,OZU,OZK,OPIS,OFUst,OZUst,OZKst,
"B-RVI","Br","R","VI","U¿ytki rolne zabudowane",,"Br-R","VI",
"dr","dr",,,"Drogi",,"dr",,
"E-Ls","E-Ls",,,"U¿ytki ekologiczne",,"E-Ls",,
"E-LsI","E-Ls","Ls","I","U¿ytki ekologiczne","E","Ls","I",
"E-LsII","E-Ls","Ls","II","U¿ytki ekologiczne","E","Ls","II",
"E-LsIII","E-Ls","Ls","III","U¿ytki ekologiczne","E","Ls","III",
"E-LsIV","E-Ls","Ls","IV","U¿ytki ekologiczne","E","Ls","IV",
"E-LsV","E-Ls","Ls","V","U¿ytki ekologiczne","E","Ls","V",
"E-LsVI","E-Ls","Ls","VI","U¿ytki ekologiczne","E","Ls","VI",
"E-Lz","E-Lz",,,"U¿ytki ekologiczne",,"E-Lz",,
"E-Lz-£I","E-Lz","£","I","U¿ytki ekologiczne","E","Lz-£","I",
"E-Lz-£II","E-Lz","£","II","U¿ytki ekologiczne","E","Lz-£","II",
"E-Lz-£III","E-Lz","£","III","U¿ytki ekologiczne","E","Lz-£","III",
"E-Lz-£IV","E-Lz","£","IV","U¿ytki ekologiczne","E","Lz-£","IV",
"E-Lz-£V","E-Lz","£","V","U¿ytki ekologiczne","E","Lz-£","V",
"E-Lz-£VI","E-Lz","£","VI","U¿ytki ekologiczne","E","Lz-£","VI",
"E-Lz-PsI","E-Lz","Ps","I","U¿ytki ekologiczne","E","Lz-Ps","I",
"E-Lz-PsII","E-Lz","Ps","II","U¿ytki ekologiczne","E","Lz-Ps","II",
"E-Lz-PsIII","E-Lz","Ps","III","U¿ytki ekologiczne","E","Lz-Ps","III",
"E-Lz-PsIV","E-Lz","Ps","IV","U¿ytki ekologiczne","E","Lz-Ps","IV",
"E-Lz-PsV","E-Lz","Ps","V","U¿ytki ekologiczne","E","Lz-Ps","V",
